Blue,Green,Red,Label
0,13,6,black
34,10,10,black
1,63,34,black
68,70,0,black
0,63,40,black
68,21,35,black
16,36,63,black
10,35,74,black
0,0,0,black
49,16,0,black
0,0,54,black
22,71,0,black
20,0,0,black
51,0,46,black
53,4,34,black
0,33,70,black
4,42,59,black
54,12,44,black
14,48,34,black
58,76,43,black
66,0,62,black
60,35,0,black
11,0,0,black
32,68,58,black
46,0,9,black
59,54,2,black
66,5,46,black
29,17,0,black
32,44,29,black
20,57,0,black
59,35,32,black
67,42,54,black
47,36,39,black
75,50,40,black
28,35,39,black
70,18,71,black
38,28,0,black
61,30,9,black
29,23,42,black
46,68,57,black
41,56,0,black
26,22,57,black
31,0,47,black
1,56,45,black
0,74,22,black
67,54,2,black
55,8,22,black
22,12,0,black
49,50,32,black
0,67,4,black
45,0,76,black
0,71,6,black
3,4,50,black
0,1,35,black
20,46,4,black
0,0,45,black
11,63,69,black
0,60,14,black
73,42,61,black
25,75,21,black
8,49,13,black
53,26,15,black
0,42,70,black
0,8,0,black
0,0,0,black
15,58,0,black
0,50,69,black
69,41,70,black
0,0,21,black
16,0,21,black
8,75,32,black
0,8,7,black
31,58,59,black
76,14,66,black
0,38,69,black
23,0,0,black
0,33,1,black
42,0,59,black
4,33,56,black
61,7,0,black
9,0,29,black
23,16,43,black
0,38,47,black
0,69,53,black
3,45,2,black
0,0,14,black
38,29,0,black
7,40,71,black
0,63,68,black
33,12,20,black
6,60,50,black
37,14,0,black
36,0,22,black
0,37,58,black
44,44,27,black
21,52,55,black
45,0,74,black
42,39,50,black
52,44,71,black
0,68,57,black
30,60,0,black
34,49,26,black
0,39,10,black
0,0,63,black
20,45,23,black
6,53,25,black
60,65,48,black
0,0,40,black
41,14,73,black
31,28,0,black
5,39,41,black
27,0,76,black
7,63,39,black
0,11,70,black
0,48,51,black
28,77,23,black
77,0,50,black
0,39,77,black
63,14,58,black
20,0,0,black
65,14,32,black
1,76,34,black
72,64,46,black
9,70,64,black
31,5,54,black
22,72,33,black
56,8,0,black
54,63,0,black
7,0,76,black
53,76,71,black
43,0,10,black
35,2,0,black
17,63,57,black
0,64,25,black
25,42,34,black
29,73,67,black
0,59,50,black
49,58,25,black
68,58,70,black
11,0,56,black
54,41,75,black
53,0,76,black
56,21,45,black
17,0,73,black
37,20,0,black
7,0,0,black
64,60,14,black
4,75,62,black
28,34,60,black
28,46,26,black
41,74,0,black
47,46,77,black
36,61,53,black
36,49,25,black
34,0,0,black
0,6,20,black
41,21,39,black
0,74,70,black
7,1,2,black
44,2,0,black
0,54,51,black
67,0,8,black
45,72,26,black
36,27,38,black
0,53,4,black
68,31,56,black
36,0,75,black
35,0,29,black
12,39,0,black
0,34,0,black
28,0,0,black
32,0,0,black
64,44,57,black
64,14,50,black
57,60,26,black
8,0,36,black
44,27,55,black
64,38,56,black
66,32,40,black
4,41,10,black
16,57,49,black
27,8,0,black
5,2,0,black
0,16,0,black
0,0,40,black
0,0,4,black
12,51,0,black
0,0,0,black
70,0,20,black
26,71,28,black
0,44,18,black
56,61,26,black
36,2,0,black
0,50,0,black
0,0,7,black
37,27,32,black
46,73,51,black
19,76,10,black
0,7,12,black
45,8,0,black
7,0,11,black
0,7,0,black
11,21,66,black
0,36,21,black
0,31,38,black
58,47,61,black
0,19,48,black
30,48,70,black
77,8,32,black
74,0,5,black
37,15,0,black
46,43,0,black
74,68,58,black
51,51,30,black
16,0,54,black
23,0,62,black
9,25,56,black
3,0,47,black
0,33,28,black
70,0,69,black
0,0,0,black
68,0,58,black
20,20,60,black
35,35,39,black
7,27,19,black
62,46,0,black
0,0,0,black
10,21,74,black
48,45,0,black
61,60,13,black
0,45,0,black
28,74,77,black
0,21,75,black
29,44,0,black
19,51,0,black
44,56,55,black
35,72,54,black
73,1,17,black
28,0,0,black
69,75,65,black
54,0,34,black
76,47,44,black
33,0,59,black
24,30,39,black
40,40,6,black
60,66,31,black
61,0,67,black
4,65,72,black
8,63,68,black
8,24,48,black
54,2,66,black
15,39,30,black
18,20,32,black
63,0,0,black
41,7,2,black
5,62,36,black
47,75,0,black
19,49,21,black
3,0,7,black
69,0,2,black
8,7,3,black
25,52,51,black
33,57,48,black
63,0,48,black
28,17,63,black
48,72,10,black
0,12,0,black
66,36,11,black
35,52,55,black
60,13,57,black
50,35,77,black
0,38,24,black
25,61,65,black
65,0,23,black
0,20,8,black
76,69,27,black
71,53,0,black
62,0,0,black
9,23,0,black
0,36,0,black
43,71,42,black
10,69,73,black
60,75,12,black
63,0,57,black
18,27,0,black
48,2,0,black
9,68,0,black
0,75,71,black
51,0,7,black
0,57,76,black
21,0,11,black
0,44,6,black
17,44,76,black
10,12,55,black
64,32,22,black
66,67,67,black
0,2,35,black
54,0,53,black
54,47,0,black
66,25,67,black
17,17,0,black
14,28,0,black
0,4,51,black
6,10,2,black
0,22,0,black
76,76,39,black
45,0,59,black
77,21,67,black
38,36,31,black
0,66,73,black
7,47,0,black
49,13,0,black
30,56,0,black
0,71,66,black
31,0,77,black
54,0,0,black
74,0,21,black
0,75,15,black
60,0,61,black
70,27,13,black
19,0,45,black
0,57,23,black
26,36,0,black
74,22,0,black
41,0,0,black
0,56,0,black
12,64,51,black
0,46,7,black
13,59,45,black
50,0,0,black
0,0,1,black
66,4,10,black
70,67,11,black
66,2,35,black
53,50,0,black
56,9,18,black
0,74,0,black
0,0,24,black
44,0,0,black
37,46,50,black
0,18,52,black
24,45,45,black
64,20,56,black
40,71,48,black
6,76,40,black
67,0,0,black
51,22,73,black
12,76,74,black
72,2,24,black
50,69,54,black
54,33,20,black
0,0,76,black
67,3,0,black
69,0,9,black
26,23,59,black
0,14,63,black
0,0,76,black
27,68,56,black
34,63,36,black
44,0,36,black
63,10,56,black
10,26,41,black
1,76,56,black
3,0,33,black
0,0,5,black
1,0,17,black
34,17,53,black
0,21,65,black
0,21,74,black
4,0,35,black
36,70,0,black
5,3,49,black
67,44,60,black
0,0,0,black
29,21,26,black
0,27,0,black
55,65,0,black
52,49,59,black
10,11,68,black
20,14,5,black
46,0,42,black
41,22,67,black
44,0,10,black
18,0,41,black
55,19,62,black
0,32,0,black
19,3,48,black
44,56,0,black
0,5,27,black
33,15,0,black
76,18,0,black
13,16,69,black
0,68,0,black
0,48,15,black
76,31,27,black
58,72,0,black
0,0,57,black
0,67,19,black
31,24,0,black
7,0,17,black
64,34,0,black
15,47,62,black
0,68,26,black
25,45,0,black
0,74,64,black
77,61,35,black
0,62,54,black
35,0,52,black
70,0,52,black
75,43,22,black
43,66,54,black
0,0,0,black
4,0,45,black
18,10,71,black
43,15,0,black
66,0,27,black
60,47,23,black
38,75,66,black
0,41,58,black
64,0,40,black
1,9,71,black
55,65,8,black
0,69,13,black
0,0,0,black
0,60,73,black
0,46,75,black
41,0,0,black
27,68,0,black
0,0,2,black
0,72,71,black
69,54,54,black
68,47,51,black
59,36,46,black
2,35,35,black
0,24,23,black
18,0,46,black
0,49,63,black
20,54,19,black
10,9,18,black
56,0,15,black
67,48,10,black
40,66,34,black
74,46,77,black
46,61,40,black
0,18,32,black
0,8,22,black
62,31,33,black
0,46,0,black
64,67,51,black
3,64,44,black
1,68,62,black
23,0,59,black
0,2,24,black
73,66,1,black
73,0,0,black
55,0,70,black
23,64,0,black
0,65,41,black
22,4,52,black
0,52,45,black
60,1,73,black
26,16,2,black
74,48,0,black
55,77,8,black
58,0,70,black
23,42,53,black
59,0,62,black
43,0,65,black
14,0,66,black
0,0,61,black
3,57,64,black
63,21,18,black
52,0,0,black
0,0,42,black
52,0,0,black
68,34,76,black
37,29,32,black
45,0,22,black
31,47,0,black
63,12,0,black
14,24,66,black
21,0,76,black
0,0,0,black
14,53,60,black
0,0,37,black
62,20,0,black
0,14,0,black
64,46,0,black
72,73,0,black
31,52,24,black
25,5,0,black
0,39,31,black
11,16,0,black
27,25,76,black
47,0,0,black
48,21,58,black
28,76,27,black
0,0,9,black
64,13,0,black
0,27,35,black
40,27,17,black
26,73,32,black
39,19,24,black
6,0,19,black
75,1,0,black
16,55,0,black
70,10,66,black
18,4,53,black
0,29,47,black
52,0,0,black
59,65,44,black
0,0,18,black
32,28,0,black
0,71,34,black
58,64,48,black
68,1,14,black
28,0,0,black
0,22,36,black
31,31,0,black
0,24,38,black
27,0,19,black
10,66,39,black
64,6,47,black
37,0,36,black
16,0,0,black
12,22,0,black
69,0,72,black
26,8,9,black
4,34,61,black
38,69,16,black
0,61,1,black
0,43,25,black
19,52,15,black
8,0,43,black
0,41,14,black
17,76,1,black
30,59,0,black
70,42,20,black
3,0,60,black
23,12,50,black
71,0,46,black
75,67,6,black
45,33,52,black
61,24,28,black
72,0,70,black
0,22,0,black
53,72,26,black
12,0,54,black
58,0,74,black
0,21,0,black
53,0,52,black
0,72,0,black
67,28,42,black
75,69,58,black
0,75,57,black
56,38,73,black
21,29,70,black
35,68,13,black
68,0,17,black
62,19,0,black
20,9,42,black
11,28,44,black
34,0,75,black
33,14,0,black
48,51,32,black
0,14,64,black
47,30,29,black
33,74,38,black
19,0,0,black
68,3,60,black
57,23,28,black
0,62,0,black
34,0,0,black
0,77,33,black
74,53,70,black
36,51,9,black
60,0,0,black
26,42,3,black
10,5,0,black
14,0,74,black
57,0,14,black
39,48,43,black
22,27,26,black
0,77,71,black
33,16,0,black
74,36,25,black
24,55,54,black
0,68,54,black
52,0,0,black
4,37,60,black
0,0,16,black
65,73,0,black
0,72,0,black
13,18,7,black
24,0,23,black
33,0,0,black
65,24,50,black
56,23,47,black
0,30,0,black
61,52,0,black
44,39,34,black
0,0,72,black
0,16,29,black
28,53,8,black
10,0,55,black
0,32,4,black
34,0,74,black
0,69,3,black
48,8,0,black
59,0,10,black
30,18,12,black
0,18,0,black
38,39,74,black
75,37,12,black
44,36,77,black
0,2,17,black
8,74,61,black
5,0,75,black
0,0,54,black
57,0,34,black
51,34,41,black
23,76,0,black
15,0,9,black
0,61,0,black
34,21,52,black
1,30,67,black
0,53,42,black
54,7,5,black
41,0,8,black
69,2,0,black
13,33,0,black
56,72,0,black
0,44,0,black
0,0,51,black
23,0,41,black
6,16,48,black
63,67,7,black
67,72,12,black
50,0,55,black
40,3,69,black
57,5,7,black
69,50,16,black
10,63,37,black
61,66,57,black
6,69,0,black
1,48,75,black
30,39,0,black
46,73,71,black
0,35,0,black
3,27,49,black
67,23,0,black
33,0,2,black
49,3,55,black
72,0,59,black
0,63,0,black
52,0,0,black
10,42,0,black
18,20,76,black
15,52,10,black
0,8,0,black
53,27,72,black
12,0,9,black
58,16,24,black
0,71,56,black
21,0,72,black
76,16,20,black
54,0,63,black
25,75,55,black
3,27,9,black
0,0,6,black
12,6,4,black
71,11,32,black
19,24,19,black
0,50,1,black
64,4,50,black
2,7,0,black
25,11,0,black
2,26,21,black
66,73,41,black
75,13,0,black
8,23,0,black
55,54,24,black
0,42,46,black
0,24,0,black
68,37,77,black
56,31,74,black
11,24,7,black
43,28,48,black
11,7,2,black
0,0,35,black
65,44,49,black
27,0,56,black
43,37,46,black
0,24,35,black
0,17,49,black
74,10,11,black
51,68,5,black
46,26,0,black
0,9,0,black
20,68,3,black
0,60,16,black
25,0,0,black
18,57,35,black
15,66,75,black
39,65,50,black
0,32,38,black
0,2,19,black
35,6,64,black
0,5,2,black
52,5,14,black
35,67,3,black
0,14,50,black
29,67,74,black
22,76,0,black
48,0,73,black
0,0,68,black
65,53,33,black
0,54,49,black
0,0,59,black
0,0,75,black
42,39,29,black
0,44,59,black
0,30,0,black
0,0,0,black
17,6,12,black
52,2,0,black
49,0,41,black
50,64,38,black
49,0,8,black
0,2,32,black
0,24,3,black
23,37,22,black
0,66,69,black
0,4,59,black
0,40,5,black
40,74,38,black
11,77,33,black
57,0,0,black
44,42,38,black
9,0,34,black
0,0,0,black
57,69,0,black
36,10,50,black
47,30,0,black
49,35,13,black
18,22,0,black
29,68,47,black
74,72,28,black
23,16,68,black
49,58,38,black
20,51,31,black
0,40,8,black
43,31,18,black
0,0,0,black
46,64,33,black
0,39,72,black
61,71,32,black
0,19,64,black
71,0,9,black
49,66,6,black
35,0,70,black
42,5,12,black
35,0,68,black
57,2,56,black
39,66,48,black
58,0,2,black
3,56,5,black
50,0,0,black
10,43,0,black
0,3,0,black
55,17,28,black
39,49,73,black
15,0,0,black
39,22,26,black
11,12,66,black
76,65,68,black
61,19,3,black
0,46,34,black
17,75,0,black
50,17,44,black
20,29,48,black
76,0,0,black
0,0,11,black
61,76,71,black
30,0,61,black
2,7,30,black
69,26,61,black
31,11,51,black
6,69,71,black
56,27,24,black
28,47,51,black
66,17,0,black
69,70,0,black
0,75,0,black
48,7,46,black
73,42,72,black
50,21,9,black
59,38,9,black
10,44,0,black
40,16,23,black
0,0,21,black
62,0,62,black
9,71,13,black
64,15,70,black
56,35,60,black
53,12,0,black
77,37,11,black
67,10,27,black
14,23,0,black
18,74,28,black
0,31,76,black
45,25,0,black
0,36,69,black
0,17,18,black
71,35,60,black
0,11,32,black
18,0,52,black
43,38,15,black
0,0,26,black
40,76,0,black
69,55,0,black
0,54,63,black
54,67,39,black
43,56,6,black
51,67,27,black
69,76,73,black
37,0,65,black
0,65,0,black
0,41,0,black
48,69,56,black
0,18,25,black
75,0,14,black
34,34,25,black
0,39,62,black
60,6,51,black
4,0,2,black
0,77,11,black
22,74,11,black
15,60,27,black
27,2,8,black
2,0,29,black
1,45,41,black
50,77,60,black
19,55,26,black
77,0,18,black
20,72,46,black
27,48,0,black
1,0,0,black
12,68,57,black
18,13,0,black
24,42,65,black
19,18,0,black
19,64,61,black
0,24,0,black
49,38,25,black
0,0,55,black
18,49,34,black
33,41,27,black
0,52,69,black
0,60,0,black
45,22,0,black
0,55,10,black
21,33,0,black
56,1,60,black
38,0,71,black
67,5,0,black
2,70,60,black
12,71,2,black
19,42,37,black
74,19,26,black
0,16,0,black
56,59,42,black
41,68,24,black
71,38,7,black
1,6,30,black
29,43,13,black
61,60,0,black
55,0,76,black
44,29,34,black
42,0,0,black
75,29,23,black
51,32,0,black
12,0,42,black
50,11,0,black
24,0,63,black
3,74,24,black
19,23,4,black
75,0,12,black
0,73,61,black
64,0,30,black
5,48,58,black
23,4,65,black
20,74,74,black
3,39,13,black
58,4,65,black
26,31,0,black
0,7,0,black
72,43,0,black
0,61,21,black
18,0,29,black
14,0,51,black
0,40,29,black
11,0,26,black
26,25,33,black
33,0,17,black
22,41,32,black
0,52,67,black
72,0,39,black
1,55,2,black
0,0,32,black
0,69,11,black
0,15,7,black
57,38,19,black
40,70,10,black
14,64,31,black
0,0,45,black
8,65,70,black
0,15,40,black
0,34,64,black
0,15,2,black
0,56,36,black
0,67,8,black
71,37,0,black
9,0,70,black
31,36,45,black
0,51,73,black
9,31,43,black
63,33,46,black
50,74,0,black
12,0,65,black
21,48,23,black
23,0,54,black
15,77,10,black
61,51,0,black
58,20,23,black
32,37,0,black
0,16,2,black
4,50,71,black
36,64,19,black
0,9,12,black
8,77,5,black
0,13,0,black
11,48,72,black
74,9,74,black
27,24,0,black
46,0,0,black
0,41,0,black
49,25,1,black
64,0,41,black
17,0,57,black
51,55,49,black
47,55,45,black
9,66,28,black
0,0,63,black
48,0,57,black
55,58,56,black
38,31,67,black
61,25,0,black
22,37,0,black
0,25,0,black
0,71,53,black
55,0,0,black
31,11,50,black
30,8,20,black
0,41,2,black
52,51,0,black
46,24,62,black
16,0,52,black
55,59,74,black
0,40,70,black
15,0,23,black
0,0,64,black
22,0,27,black
20,0,0,black
26,42,36,black
43,19,52,black
52,71,0,black
17,20,43,black
17,70,28,black
24,56,0,black
63,23,5,black
72,0,53,black
64,59,55,black
73,0,15,black
35,18,0,black
64,69,0,black
24,55,6,black
0,0,0,black
0,62,61,black
0,54,44,black
32,41,5,black
0,74,71,black
58,0,0,black
0,50,49,black
0,0,12,black
0,74,0,black
68,31,0,black
36,53,74,black
23,28,62,black
38,12,0,black
72,25,60,black
0,10,66,black
24,54,62,black
41,30,0,black
0,0,28,black
0,18,37,black
0,72,19,black
76,18,76,black
13,46,0,black
29,58,33,black
51,49,15,black
33,0,51,black
9,0,18,black
14,12,29,black
34,70,64,black
61,62,71,black
71,40,33,black
10,8,0,black
0,64,7,black
35,61,39,black
8,67,72,black
0,59,45,black
19,61,0,black
39,70,63,black
30,57,0,black
18,0,74,black
29,70,43,black
9,31,44,black
0,54,11,black
0,11,23,black
77,47,45,black
0,0,59,black
0,33,77,black
20,10,0,black
64,2,13,black
49,7,35,black
28,0,23,black
29,0,0,black
38,44,6,black
0,0,67,black
22,53,8,black
66,12,71,black
22,1,0,black
44,0,35,black
18,6,50,black
0,26,63,black
1,0,68,black
0,68,0,black
30,4,30,black
52,20,29,black
51,26,32,black
0,37,30,black
70,5,0,black
40,37,40,black
44,32,43,black
16,0,35,black
21,5,70,black
10,68,65,black
43,0,44,black
57,5,30,black
48,68,46,black
0,69,0,black
0,5,39,black
76,50,0,black
32,33,77,black
61,6,29,black
0,21,0,black
22,75,25,black
20,25,21,black
62,21,10,black
19,26,1,black
37,22,64,black
32,68,55,black
29,0,40,black
0,0,13,black
0,29,33,black
0,32,0,black
69,13,33,black
2,1,0,black
3,69,33,black
28,0,56,black
25,58,73,black
0,66,16,black
70,0,5,black
0,36,22,black
11,55,59,black
6,12,61,black
50,45,30,black
71,0,34,black
0,20,46,black
75,0,37,black
60,77,63,black
0,6,62,black
0,11,0,black
30,56,43,black
23,27,49,black
46,0,0,black
13,74,47,black
38,19,0,black
22,40,0,black
14,0,0,black
0,0,42,black
19,25,64,black
65,11,65,black
0,61,0,black
23,59,58,black
37,0,36,black
0,65,0,black
0,43,63,black
40,0,0,black
40,60,52,black
0,77,77,black
68,33,55,black
0,0,0,black
0,38,41,black
51,60,6,black
0,70,0,black
0,41,0,black
49,0,38,black
10,26,0,black
0,0,37,black
51,24,0,black
0,51,52,black
3,22,0,black
0,0,68,black
46,0,4,black
51,0,25,black
54,0,66,black
69,0,0,black
10,69,72,black
58,0,58,black
18,62,1,black
74,54,77,black
52,0,6,black
24,32,0,black
0,71,42,black
21,46,0,black
24,52,62,black
62,69,21,black
28,18,0,black
32,60,53,black
0,24,33,black
11,35,60,black
3,63,22,black
68,28,71,black
0,27,29,black
47,64,38,black
0,0,32,black
0,4,66,black
53,0,48,black
15,27,0,black
64,13,36,black
43,23,54,black
63,2,29,black
35,50,38,black
0,0,36,black
19,0,0,black
12,0,73,black
37,20,45,black
31,34,0,black
0,12,0,black
19,0,0,black
73,76,0,black
10,18,64,black
34,77,25,black
25,66,0,black
29,23,67,black
16,0,7,black
21,0,23,black
19,3,38,black
64,52,0,black
0,43,0,black
23,70,9,black
16,0,29,black
0,59,18,black
14,33,45,black
17,30,60,black
66,25,0,black
58,51,28,black
0,7,0,black
34,36,54,black
0,76,50,black
0,63,0,black
41,0,56,black
0,71,55,black
75,0,4,black
0,33,32,black
0,36,38,black
70,51,36,black
44,29,17,black
15,55,28,black
71,44,23,black
0,68,0,black
52,63,50,black
48,0,14,black
13,49,5,black
36,60,0,black
16,19,60,black
65,58,20,black
0,14,24,black
56,67,70,black
33,36,47,black
43,28,50,black
27,0,72,black
0,70,0,black
58,5,72,black
43,0,35,black
0,0,74,black
67,76,0,black
13,11,45,black
0,0,53,black
0,0,27,black
6,64,36,black
61,0,21,black
55,32,61,black
6,0,22,black
46,55,14,black
44,6,74,black
0,16,36,black
42,49,0,black
0,68,0,black
7,57,49,black
60,37,58,black
0,31,12,black
0,49,0,black
5,14,68,black
9,44,0,black
36,0,42,black
59,34,56,black
36,0,40,black
4,71,28,black
0,26,77,black
24,44,74,black
55,0,77,black
54,6,0,black
51,0,0,black
64,0,62,black
44,35,29,black
77,63,7,black
54,0,29,black
75,21,23,black
65,16,20,black
45,11,48,black
0,2,34,black
63,0,14,black
43,0,0,black
8,62,15,black
19,18,0,black
24,0,70,black
31,56,0,black
8,0,38,black
69,37,77,black
0,0,0,black
0,52,0,black
0,29,0,black
0,36,7,black
51,6,77,black
20,0,38,black
41,0,46,black
41,19,56,black
31,0,2,black
67,13,53,black
52,46,72,black
28,43,73,black
31,57,69,black
51,7,38,black
67,38,0,black
73,43,0,black
26,0,0,black
8,28,73,black
54,56,64,black
0,0,0,black
0,28,43,black
43,3,35,black
0,18,42,black
0,0,27,black
40,10,0,black
10,45,29,black
35,38,39,black
21,41,28,black
55,16,15,black
0,0,11,black
26,75,58,black
13,1,73,black
23,1,40,black
62,8,35,black
0,64,5,black
32,75,0,black
50,8,2,black
49,25,0,black
22,2,0,black
0,0,13,black
61,16,59,black
24,63,29,black
15,0,55,black
17,56,68,black
41,31,8,black
28,8,0,black
0,0,45,black
26,54,65,black
15,19,58,black
0,38,66,black
26,0,58,black
56,2,60,black
68,1,45,black
76,1,41,black
